year,LootBox,Pay to Win,Cosmetic
22/03/2010,5.692690281,5.278614081,11.22308334
26/03/2010,5.733764512,5.2855706,11.23933798
02/04/2010,5.714659588,4.914229576,10.85671226
09/04/2010,5.599459915,4.343666782,10.15365199
16/04/2010,5.632497454,4.075314013,9.887293787
23/04/2010,4.978080703,3.868993236,9.013021494
30/04/2010,4.456494964,3.55596622,8.156242445
07/05/2010,5.031126957,3.26649681,8.43177486
14/05/2010,4.993441098,2.998671923,8.118878675
21/05/2010,5.701390084,3.3615433,9.205352416
28/05/2010,5.531081233,3.098851057,8.771508536
04/06/2010,6.008353045,2.970631989,9.106056123
11/06/2010,7.991118195,2.867254769,11.0125728
18/06/2010,6.724897078,3.045600555,10.40820486
25/06/2010,6.82773235,3.637102566,11.02328119
02/07/2010,9.482998836,3.694536731,13.7819917
09/07/2010,11.01058409,3.210324081,14.70428811
16/07/2010,7.744353127,2.779437537,10.89529557
23/07/2010,7.234529287,2.575822533,10.14805413
30/07/2010,6.913768048,2.571032766,9.780897604
06/08/2010,6.471714863,2.584193533,9.380899131
13/08/2010,6.372550487,2.572556546,9.241887799
20/08/2010,6.087944234,4.020721476,10.37205866
27/08/2010,5.643554662,8.880154867,14.73770088
03/09/2010,5.708194968,6.646640127,12.69338479
10/09/2010,5.560141611,5.339551361,11.25910215
17/09/2010,5.144609064,4.410060991,9.768791113
24/09/2010,5.15641762,3.50222273,8.836299581
01/10/2010,8.684520703,3.099423549,11.97078371
08/10/2010,7.350692953,3.47287642,11.00154578
15/10/2010,6.768881079,7.393068545,9.934968231
22/10/2010,6.658704228,12.93651534,9.339782699
29/10/2010,7.430947691,10.69639874,10.05579686
05/11/2010,5.111830065,7.626388347,7.218788555
12/11/2010,4.144315299,5.701337478,5.97913155
19/11/2010,4.532601948,5.401793358,6.496222499
26/11/2010,4.483840006,5.030312077,6.646832429
03/12/2010,4.550260448,5.114809075,7.181350951
10/12/2010,4.826841459,5.702599392,8.311945318
17/12/2010,6.773561551,7.180971279,11.96032013
24/12/2010,5.802145838,8.198073848,11.4579803
31/12/2010,6.067152278,7.761643701,11.19995928
01/01/2011,5.370127162,7.891424517,11.11097693
08/01/2011,5.960096309,7.818733293,10.77710622
15/01/2011,6.472173411,7.802261205,10.8278095
22/01/2011,5.948536895,7.80626533,10.90471793
29/01/2011,5.720155752,7.915907901,11.20031444
05/02/2011,5.565615222,6.970337323,10.37478563
12/02/2011,5.365034995,6.34915691,9.799173396
19/02/2011,6.641964525,7.801953715,11.0178247
